company_id,penyedia,alamat,kode_pos,situs_web,no_telp,no_fax
157,PT Istana Bandung Raya Motor,Jalan Cicendo 18 Bandung,40117,,085722908333,
203186,PT. Bhinneka Mentari Dimensi,Jl. Gunung Sahari Raya 73C #5-6,10610,https://www.bhinneka.com/,02129292828,4257787
205761,PT ASEAN MOTOR INTERNATIONAL,Jl. KH Samanhudi No.10,10710,http://www.htmmotorcycle.co.id,021-3802865,021-4831024
209514,CV. Mandiri Jaya,Jl. T. Iskandar No. 19 Beurawe - Kuta Alam,23124,-,081360194438,-
209547,CV. CIPTA SUKSES TEKNOLOGHY,"KP. DUREN BARU NO.82 SUSUKAN, BOJONG GEDE",16920,,08111110819,
211689,PT. CROSS NETWORK INDONESIA,RUKO KLAMPIS MEGAH H-10,60117,www.cross.net.id,-,031 5933600
211757,PT. SERASI AUTORAYA,JL. MITRA SUNTER BOULEVARD BLOK C2 KAV.90,14350,www.trac.astra.co.id,021-26605333,021-6510628
211782,PT.MITRA SENDANG KEMAKMURAN,JL.JEND.A.YANI NO.128 SUMUR PECUNG SERANG BANTEN,42112,mskemakmuran.com,0254-207999,0254-227949
231145,PT.AUTOMOBIL JAYA MANDIRI,JENDRAL SUDIRMAN NO.299 RT 002 / RW 003 KEL.GISIKDRONO- KEC. SEMARANG BARAT,50149,,-,024-7621990
231183,PT. GROEN INDONESIA,Jalan Panjang Jiwo 46-48/ Ruko Panji Makmur D7,60299,www.groen-indonesia.com,-,0318475511
237784,"Perdana Putra, cv",Jl. Agave Raya Blok A-1 No. 40 RT. 008 Rw. 04 Kedoya Selatan,11520,-,021-5800815,-
237944,CV. Benang Merah,Jl. Karang Asem No. 20,60133,www.pujaankampus.com,031 3812459,031 3812459
238022,PT. ERA MITRA PERDANA,RUKO BUARAN PERSADA NO. 31 - JL. R. SUKAMTO DUREN SAWIT,13450,http://www.eramitra.com,021-86612458,021-86612365
238123,karen abadi makmur,"Ruko Ngurah Rai Park, Jl. I Gusti Ngurah Rai Kav. No. 22 RT 007 RW 04 Kel. Bintara, Kec. Bekasi Barat, Bekasi",-,-,021-7125 7034,-
238252,PT. INZAN PERMATA,JL Wahana Raya No 77 RT 002/011 - Kelurahan Tapos - Kecamatan Tapos - Kota Depok,16457,inzanpermata.com,0218752727,02187917979
238665,PT. KAWAN LAMA SEJAHTERA,Jl. Puri Kencana No. 1  Kembangan Selatan,11610,www.kawanlama.com,08129106138,0215820088
239625,PT. SENTRABUMI PALAPA UTAMA,JALAN RAYA LEGUNDI KARANGANDONG NO 1-3,61176,www.bumipalapa.com,0317915333,0317912945
241947,CV. KENCANA SURYA,"Jl.Tempel Sukorejo I / 105, Surabaya",60225,,031-5668848,031-5670040
242506,PT BERKAT ANUGERAH RAYA,jalan Biliton No.14 A Surabaya,60275,www.berkatanugerahraya.com,-,031-5315432
242943,PT PURA BARUTAMA,Jl. AKBP AGIL KUSUMADYA 203 KUDUS,59346,https://www.puragroup.com,0291444361,
242956,PT. Matra Perkasa Utama,Jl. Raya Narogong Km.13 RT.002 RW.006 Kelurahan Cikiwul Kecamatan Bantar Gebang Kota Bekasi,17151,matrafire.com,021 82608811,021 82608822
242970,PT. RAJAWALI NUSINDO,JL. DENPASAR RAYA KAV DIII,12950,www.nusindo.co.id,021-5293820,021-52914259
243257,CV. LINTAS GLOBA MEDIA,JL. Ir. Sutami No. 96 A Surakarta,57125,,-,0271652046
244085,PT BUKAKA TEKNIK UTAMA TBK,"JL RAYA NAROGONG BEKASI KM. 19.5 RT. 03 RW. 02 LIMUSNUNGGAL, KECAMATAN CILEUNGSI, KABUPATEN BOGOR",16820,http://www.bukaka.com,021-8234803,021-8231147
244383,PT. METROCOM GLOBAL SOLUSI,"Graha Metrocom, Jl. Prof. Dr. Soepomo SH No. 290, Tebet",12870,www.metrocom.co.id,021-83700160,021-83700161
244889,CV. Global Karunia Technology,JL. MANGGA BUNTU NO. 35 RT.004 RW.006 LAMPER KIDUL SEMARANG SELATAN,50262,http://globalkaruniatechnology.co.id,02476440076,0248313664
246479,PT. DATA SINERGITAMA JAYA,Gedung The manhattan Square Lt 22 Tower B  Jl. T Cilandak Timur Pasar Minggu,12430,www.elitery.com,"+62217511004, 082121828223",+62217511004
247467,CV. SURYA AGUNG PERKASA,JL DUKUH KUPANG TIMUR XVII/46,60256,,031-5668848,031-5670040
249222,IMANUEL AGAPE,JL CIDENG TIMUR NO.42,10130,www.imanuelagape.co.id,63854249,63858533
249419,CV. PAGA LOMAK,Jln. Daan  Mogot Ruko Terrace Walk Point 8 Blok D No. 8 Cengkareng,11750,,-,021 29672289
250863,"PT. ASTRA GRAPHIA, TBK",Jl. Kramat Raya No. 43,10450,www.astragraphia.co.id,021-3909190,021-3909181
251574,PT.KINGLAB INDONESIA,KARAWACI OFFICE PARK BLOK A NO. 10 LIPPO KARAWACI,15811,WWW.KINGLABINDONESIA.COM,021-55795088,021-55795087
251847,Putra Cahaya Sejati,Jalan Gunung Sahari Raya Nomor 41,10720,,-,0216592046
251872,PT. Tangan Pembangun Nusantara,"Jl. Terusan Baru I Gusti Ngurah Rai Ruko No. 18, Kel. Pondok Kopi, Kec. Duren Sawit",13460,,02128535519,
251873,PT. Lebah Rajin Sejahtera,"Jl. Terusan Baru I Gusti Ngurah Rai Ruko No. 18, Kel. Pondok Kopi, Kec. Duren Sawit",13460,,(021) 28535519,
252116,PT LINTAS MEDIATAMA,Jl. Cipunegara No. 16,40114,www.lintasmediatama.com,-,022 - 7238044
252404,PT.TVS MOTOR COMPANY INDONESIA,"GD WIRAUSAHA LT 3 JL.HR RASUNA SAID KAV C5, SETIABUDI, JAKARTA",12920,http://www.tvsmotor.co.id/,-,021-30020576
252788,CV.ELMINDO KARYA,Jl. Kramat Aris No. 19 Setu - Cipayung Jakarta Timur,13880,www.elmindokarya.com,3265579,3141567
252896,PT. DINAMIKA INDO MEDIA,"Jl. Raya Wringinanom km 30,2 Desa Sumengko Kec. Wringinanom Kab. Gresik",61176,,0318289999,0318289999
253218,PT. ITS SCIENCE INDONESIA,"Sentra Bisnis Artha Gading, Blok A-6A, No. 3 & 5, Jl. Boulevard Artha Gading, Kel. Kelapa Gading Barat, Kec Kelapa Gading",14240,http://www.its-indonesia.com,021-4516222,021-4516223
253287,PERUM PERCETAKAN NEGARA RI,"Jl. Percetakan Negara No. 21 Johar Baru, Jakarta Pusat",10560,www.pnri.co.id,021 4212455,021-4212455
253312,PT. Destin Distritek,Jl. Duren Tiga No. 101 Pancoran Jakarta Selatan,12780,https://www.sorak.co.id/,02165832141,
253768,PT ROBICOM CIPTA SOLUSINDO,JL GRIYA HIJAU RAYA NO. 29 ( ALAM SUTERA) KELURAHAN PAKUALAM KEC. SERPONG UTARA,15320,www.robicom-cs.com,021 53127891,
254466,CV.Bumi Raya Indonesia,"Komp.Pertokoan Jurnatan B-49,Semarang",50137,,"(024) 3553888, 0811298299",(024) 3552277
257287,PT. Cahaya Mas Cemerlang,"Komplek Majapahit Permai Blok C-105, Jl. Majapahit No. 18-22, Kel. Petojo Selatan, Kec. Gambir, Jakarta Pusat",10160,www.cahayamascemerlang.com,0214602345,0214602344
257400,PT.Kawansakti Adhisejahtera,Jl. Raya Serang KM 16 Kelurahan Sukamulya Kecamatan Cikupa Kabupaten Tangerang Banten,15710,,021 5969000,021 5961178
257501,PT. HAS ANEUK NANGGRO,"Ruko Has Putra Group Jl. Pal Putih No. 71 Kramat, Senen",10450,-,(021)-3917486,(021)-3917495
257790,PT. Mitra Mandiri Komputindo,"Ruko Bumi Mutiara Blok JA 1 No.2 Bojong Kulur, Gunung Putri, Bogor",16969,http://mitra-mandiri.com/,(021) 82433500/1974,(021) 82403934
258051,PARSAORAN GLOBAL DATATRANS,"Gedung Graha STK lt. 5. Jl. Taman Margasatwa No. 3 RT. 001 RW. 001. Kel. Ragunan Kec. Pasar Minggu, Jakarta Selatan",12760,http://www.hsp.net.id,"02139703970, 085715176400",02139700144
259609,CV Metrocom,"Jl. Sindunegaran No. 10 Kelurahan Bumijo, Kecamatan Jetis, Kota Yogyakarta",55231,,0274887191,0274887807
260602,PT. Macro Trend Technology,"Jl.RE Martadinata Ruko Mahkota Ancol Blok D/12,Ancol Pademangan Jakarta Utara",14420,www.macro-trend.com,021-64700040,021-64700039
261155,PT. TRIMITRA DATA TEKNOLOGI,"Gedung World Trade Centre 5 Lantai 3A, Jl. Jend. Sudirman Kav.29-31, Kel. Karet, Kec. Setiabudi, Jakarta.",12920,http://www.trimitradata.com,02125985116,02125985001
261214,CV.DUTA MEDIA,"KRAPYAK , RT.001 RW.008, MERBUNG, KLATEN SELATAN",57424,https://www.bisaklik.com,02723392981,
261886,PT. LORA PERKASA,jl. Blora gg. sentosa Dua no 41C Segalamider Tanjungkarang Barat Bandar Lampung,35152,-,07217692209,-
262016,RETYAN COMPUTER,Jl. KH. Ahmad Dahlan No. 15 Sukajadi,28128,https://retyan.co.id,-,0761-849861
263914,PT IBO MAKMUR AGUNG,Jl. Jatiwaringin No 09 RT 007 / 016 Kel. Cipiang Melayu Kec. Makasar Kota  Jakarta Timur DKI Jakarta,13220,-,-,-
264386,PT.Platinum Network Indonesia,"GRHA CNI, Jl. Wolter Monginsidi No. 88i, Kebayoran Baru, jakarta Selatan 12170",12170,www.platinum.net.id,"021-7224466, 7224477",021 - 7221444
264906,PT Kayreach System,Grand Slipi Tower Lt. 35 Unit B-C Jl.Letjend S.Parman Kav 22-24 Slipi Palmerah Jakarta Barat 11480,11480,www.kayreach.com,021 29022360,021 29022361
266617,PT. Katalis Datesa Prima,Jl. Letjen Suprapto No. 22 Cempaka Putih Timur Jakarta Pusat,10510,www.katalisdatesaprima.co.id,-,021-4206166
266845,PT. BISMACINDO PERKASA,JL. Raya Pesanggrahan No. 1128 B,11610,https://www.bismacindo.co.id,021-5814220,021-5820774
267555,PT. EMERALDIKA SINAR GEMILANG,JL. Kelapa Raya Blok E 4 No 01 RT 072 RW 019 Talang Kelapa Alang-Alang Lebar Palembang,30151,http://emeraldika-techno.blogspot.com/,0711-5645346,0711-5645348
269320,CV. Hijrah Corporation,GRAHA PENA LT.15 R.1503  JL. A.YANI NO. 88 SURABAYA,60232,https://hijrahcorp.co.id/,03182511068,03182511068
269345,PT DEKA SARI PERKASA,Jl. Paus Blok A No. 8 - 9 DE Rawamangun Jakarta Timur,13220,http://www.innola.co.id,02182617000,
269615,AIR MAS PERKASA,"Jl.K.H.Zainul Arifin Komp.Ketapang Indah B-3 No.8-9, Jakarta Barat 11140",11140,www.ayooklik.id,08001114444,0216341082
269617,PT.GARUDA SEJAHTERA BERSAMA,JL.PASAR KEMBANG NO.124-D,,,-,031-5492011
271490,PT. Gratia Jaya Mulya,Jl. Boulevard Timur Raya Blok ZC.1 No. 10-11 Kelapa Gading,14250,http://www.gratiajayamulya.co.id,02122232343,
272068,PT XL AXIATA Tbk,"XL Axiata Tower, Jl. H.R. Rasuna Said Kav. 11-12, Blok X5 RT 007 RW 002, Kuningan Timur, Setiabudi, Jakarta Selatan 12950",12950,www.xl.co.id,-,021-57959522
272549,cv.Ringin Putra Wisesa,Mutiara Gading Timur Blok S 6 No. 24 Mustika Jaya - Bekasi,17158,-,02129013872,02129013872
272729,PT. Bening Mata Santosa,Jl. Wonowoso Regency RT.006 RW.003 Mojosongo,57112,www.beningmata.com,-,0271781033
273571,PT. MUTIARA LABSAINS,Jl. S. Parman No. 151 F,,,0751-443679,0751-443680
273875,PT. SINAR SEJAHTERA MANDIRI,JALAN WALISONGO NOMOR 43,-,WWW.CHITOSE-INDONESIA.COM,7618137,7618138
274091,PT. TRIKREASINDO MANDIRI SENTOSA,"Komplek Pergudangan Sentra Industri Terpadu III, Pantai Indah Kapuk Blok C No.1F RT/RW 003/003 Kel. Kamal Muara, Penjaringan, Jakarta Utara",14470,https://tmsentosa.co.id/,02122570798,
274823,PT Metra-Net,GD. Mulia Business Park Building J Jl.MT Haryono Kav C 58-60 Pancoran Jakarta Selatan,12780,xooply.id,-,02179187252
275843,PT ASTANITA SUKSES APINDO,"Komp. Gading Bukit Indah V-20, Jl. Bukit Gading Raya, Kel. Kelapa Gading Barat, Kec. Kelapa Gading",14240,http://www.firedome.co.id,29574251,29574251
275889,PT Batavia Prosperindo Trans,"GD Chase Pkaza Lt.12,Jl Jendral Sudirman Kav.21 Kelurahan Karet,Kecamatan Setia Budi",15322,http://www.bataviarent.com,(021)53163318,(021)53163319
276340,PT. Pundarika Atma Semesta,"Komplek Perkantoran 1-3, Jl. Letjend Suprapto No. 22A-22B, Cempaka Putih barat, cempaka putih - Jkrt",10560,http://www.ayaxx.com,021 - 42886070,021 - 4221829
277523,PT. MODERN DATA SOLUSI,Jl MANGGA BESAR RAYA NO 41 TANGKI-TAMANSARI JAKARTA BARAT,11120,http://www.moderndatasolusi.com/,-,+62-21-29-379-188
277903,CV. DUTA MITRA,JL. KARIMATA V-F2 SUMBERSARI,68121,,-,0331-4430935
278370,PT. ZYREXINDO MANDIRI BUANA,JL. DAAN MOGOT NO. 59,11470,WWW.ZYREX.COM,021-5653311,021-5653322
279283,INNOVASI DIAGNOSTIKA,Jalan Kramat Raya nomor 150 kelurahan kenari kecamatan senen,10430,http://innodia.co.id,082348265622,021- 29083392
281100,PT. Prospera Perwira Utama,Ruko Crown Green Lake City Blok H No. 16,-,-,6492763,-
282590,PT. Excellent Infotama Kreasindo,JL. CANDI MENDUT BLOK C NO. 328 RT 010 RW 011 KEL. DUREN JAYA KEC. BEKASI TIMUR,17112,http://www.excellent.co.id,-,021-82678811
284752,PT. CARTENZ TECHNOLOGY INDONESIA,"Gedung AIA Central Lantai 25, Jl. Jend Sudirman Kav 48A RT 005 RW 004 Karet Semanggi, Setiabudi Jakarta Selatan, DKI Jakarta",12930,www.cartenz.co.id,-,021 - 29772992
285474,PT Moradon Berlian Sakti,Jl. Agung Karya II blok D/12a,14340,www.moradon.com,021-6510560,021-6512744
285486,PT. Genta Buana Astadeca,"Komplek Ruko Kartini Blok C no. 35-36, Jl. Citayam Raya",16431,,021-29097591-93,021-29097594
285541,PT. TRITANU,Jl.Batu Tulis raya no.2,10120,https://tritanu.com,0213807522,0213513568
285547,PT. MEDIANUSA PERMANA,GEDUNG GRAHA PENA LT. 4 NO. 3A-11,,www.permana.net.id,-,0778-468819
285557,PT.BINTANG ANUGERAH CAHAYA ABADI,"Gudang G 198 BLOK BL Jl. Satu Maret No.15, RT.1/RW.9, Kel.Kamal, Kec. Kalideres",11830,-,02152396408,021-5446270
285564,PT. WIFIKU INDONESIA,"Komplek Mutiara Taman Palem Blok A8 no 1,Cengkareng Jakarta - Barat",11730,www.wifiku.net,021-56945403,021-56946065
390901,PT. RAYHAN INDAH PERKASA,"RUKO MEGA GROSIR CEMPAKA MAS BLOK B NOMOR 2 LANTAI 3 JL. LETJEND SUPRAPTO, KEL. SUMUR BATU, KEC. KEMAYORAN JAKARTA PUSAT",10640,,081398977721,0214263847
393318,PT. Kemika Karya Pratama,Jl. HOS Cokroaminoto Ruko Ciledug Center Blok B-3 Kel. Larangan Utara Kec. Larangan,15154,http://www.kemika.co.id,021-22276619,
394752,ARTIKULASI MANDIRI,Jln. Raya Penggilingan RT04 RW03 NO.70B,13940,,02122859992,
396587,PT. Betawimas Cemerlang,Jl. Garuda No.80L Kemayoran Jakarta,10620,http://www.betawimas.com,-,021-4241844
397594,PT. FIZTBAN BUMI INDONESIA,"RUKAN SENTRA NIAGA BLOK F23, GREEN LAKE CITY RT 006/008, DURI KOSAMBI, CENGKARENG",11750,,02129863163,02129863163
398870,PT INTI DATA TELEMATIKA,Jalan Raya Medayu Utara No. 30B RT.002 RW. 008 Wonorejo Kec. Rungkut Kota Surabaya,,www.inti.net.id,031-8722337,
399745,CV. ORION,JL. FIBERGLASS NO. 199 RT./RW. : 022/009 KLETEK TAMAN SIDOARJO,61257,http://orionperaga.id,031-58255009,031-58255008
400486,PT Telematic Multisystem,"Soho Pancoran, Tower Splendor Lt. 11 Unit 10 Jl. Letjen MT Haryono kav.2-3 Jakarta 12810 - Indonesia",12810,http://telematic.co.id,80625830,80625831
400869,PT. CIPTA SINERGI ASIA,JALAN HAJI TEN RAYA 65-66 RT.05/01 RAWAMANGUN KECAMATAN PULOGADUNG,13220,www.ledcsa.com,02147864822,021-47864456
404167,CV. KANANI SUKSES SEJAHTERA,Jl. Terusan I Gusti Ngurah Rai No. 9 RT. 010/016 Kel. Bintara Kec. Bekasi Barat,.,.,-,.
406757,PT. UNIBLESS INDO MULTI,"Ruko Grand Pasar Minggu Lt.2 Jl. Rawa Bambu No.88 E, Pasar Minggu, Jaksel 12520",12520,www.uniblessindomulti.com,021.78844339,021.78844339
407045,MAX-INDO,JL.KAMPUNG NIAS V NO.7 BELAKANG PONDOK PADANG,25211,,39119,0751-22063
407090,PT. MANDEGANI NANDANGI ARDHI',"Jl. Cempaka Putih Raya No. 102, Jakarta Pusat 10510",10510,www.mubarix.com,0214269233,0214228386
407346,PT. Esence Sarana Medika,Jl Soekarno Hatta No. 44 Pedurungan Semarang,50192,https://esamed.my.id,02476419894,
409050,MITRA TEKNIK RAYA,Jl. Daan Mogot Ruko Terrace Walk Point 8 Blok D No. 1 Duri Kosambi,11750,-,021 29672289,021 29672289
409574,CV. PAN JAYA,Desa Pamengkang Kecamatan Mundu Kabupaten Cirebon - Jawa Barat,45173,,02318511343,02318511457
409601,PT. Esco Utama,"Taman Tekno BSD Blok G3 No. 5, Setu, Setu",15314,www.escolifesciences.co.id,021-29666565,021-29666302
409653,PT. Annex Unique Indonesia,Jl. Daan Mogot KM.17 No.4 RT/RW 03/03 Kel. Kalideres Kec. Kalideres,11810,-,-,021-5440751
409655,PT.BINTANG MANDIRI MEDICA,"JALAN DIPONEGORO RT.012 MAJIDI PANCOR, KECAMATAN SELONG",83612,-,-,-
409707,PT Karya Putra Sukses,"Jl. Lanud Gorda Kampung Maja RT.001/004, Desa Kibin, Kec Kibin",-,-,-,0215444090
409804,PT PUSTAKA INSAN MADANI,"JL. KENANGA, MAGUWOHARJO, DEPOK, SLEMAN, YOGYAKARTA",55282,www.insanmadani.com,0274-4332394,0274-4332395
409806,PT. MANEUNGTEUNG ANUGERAH MANDIRI,JL. BINTARA IX NO.49 BINTARA,17136,ajimut.com,-,02188950325
409813,CV. WARDHANA,"JL. KALIBUTUH NO. 62, KELURAHAN TEMBOK DUKUH KECAMATAN BUBUTAN",60173,www.wardhana.co.id,031 546 0804,031 534 1868
409814,PT. PRIMA DUTA NUSANTARA,RUKO PRIMA CIPUTAT BLOK A30. JL. OTISTA RAYA - CIPUTAT,15411,www.dutanusantara.co.id,021-7443966,021-7421582
409820,PT.KARYA MITRA SERAYA,"Jl. Babakan Rawa Haur No. 28, Desa Sentul Kec. Babakan Madang, Bogor  16810 - Indonesia",16810,www.vivente.co.id,-,021 - 87950998
409842,PT. DITRA MANUNGGAL JAYA,JL. MOJOPAHIT 30                                                                                                                                                                                                                   JL. MOJOPAHIT 30,61214,-,0318960039,0318052429
409880,PT.ASCO PRIMA MOBILINDo,Jl.Raya Pasar Minggu No.8 Kel.Kalibata Kec.Pancoran Jakarta Selatan,12510,www.asco.co.id,021-7948304,021-7948303
409898,CV SHIAMIQ TERANG ABADI,"JL. POKSAY RT.01 RW.06 DESA TRIYAGAN, MOJOLABAN, SUKOHARJO",57554,www.shiamiq.com,-,0271-8203726
409902,PT. SINJARAGA SANTIKA SPORT,Jl. Liangjulang No. 104 Kadipaten,45452,-,0233-661514,0233-661719
409942,PT. HAS ENVIRONMENTAL,"RUKO MEGA CEMPAKA MAS BLOK i NO. 12, JL. LETJEN. SUPRAPTO CEMPAKA PUTIH",10640,www.has-environmental.com,-,021-4264624
409943,PT. MAESINDO INDONESIA,"DUSUN KARANGJATI RT 007, BANGUNJIWO KASIHAN",55184,http://www.maesindo.com,-,021-8451249
410007,MY ICON TECHNOLOGY,"APL Tower Lantai 42, Jl.Letjen S.Parman Kav.28 Tanjung Duren Selatan, Grogol Petamburan",11470,https://www.metrodataonline.com,02129345617,
410008,BIMASAKTI CAHAYA ABADI,"KOMPLEK GREEN VILLE, BLOK BG NO. 30 RT.011/014",-,www.okegenius.com,-,-
410011,PT.MYACICO GLOBAL INDONESIA,JL.KESEHATAN RAYA 60 O-P,10160,http://www.myacico.co.id,-,021-3502099
410017,PT. GADING MURNI,JL. TUNJUNGAN NO. 27 SURABAYA,60275,www.gadingmurni.co.id,031-99251478,031-5470176
410024,Turbo Mitra Perkasa,Jl. Angkasa No. 18 BD Gunung Sahari Selatan Kemayoran Jakarta Pusat 10610,10610,https://turbo.co.id,0214229266,
410046,PT. COBAS PERKAKAS JAYA,"Komplek Ketapang Indah Jl KH Zainul Arifin Blok B1 Nomor 21,  Kel. Krukut, Kec. Tamansari, Jakarta Barat",11140,http://cobasstore.co.id,0216329500,02129038768
410121,PT.Eurokars Motor Indonesia,JL.PANJANG NO.6,11530,www.mazda.co.id,0215358000,02153665336
410125,PT. MAJU GLOBAL MOTOR,JL. RAYA PONDOK GEDE NO. 49 RT.003 RW.008 KEL. LUBANG BUAYA KEC. CIPAYUNG JAKARTA TIMUR,13810,http://wulingmotors.id,021-22825566,
410127,PT MITSUBISHI MOTORS KRAMA YUDHA SALES INDONESIA,"Jl Jend. A. Yani Proyek Pulo Mas, Jakarta",13210,http://www.mitsubishi-motors.co.id/,4896108,4899452
410131,PT. Auto Indo Utama,"Jl. Jendral Sudirman N0.74 Rt.001 / Rw.007, Kel. Babakan, Kec. Tangerang, Kota Tangerang",,,-,
410147,CV. Putra Putri,PERUM CANDI INDAH BLOK G NO. 4 JOMBANG,61413,-,0321-854349,0321-854349
410149,PT Sentra Kriya Edukasi,"Jl. Sultan Agung, Plembon, Ketandan, Kec. Klaten Utara",57438,http://www.skelaboratory.com,-,
410162,PT. PANCA JAYA SETIA,"Jl. Daan Mogot Km. 14, No. 1, Kel. Kalideres, Kec. Kalideres",11840,www.pancajayasetia.co.id,021-56942382/5677081,021-56969250
410175,PT. Jaya Eco Energi,Jl. Gading Kirana Utara F.10 No.5,14042,www.jayaecoenergi.com,-,021-45877269
410223,PT.ARTOLITE INDAH MEDIATAMA,"JL RAYA JAKARTA BOGOR KM 34,5 GG NANGKA CIMANGGIS DEPOK",-,www.artolite.co.id,-,021 8741188
410236,PT.SARI KRESNA KIMIA,JL.BIAK NO.01/B1 CIDENG KEC.GAMBIR JAKARTA PUSAT,10160,kresna.co.id,-,021-6320586
410241,PT NEX TEKNOLOGI INDONESIA,"Jl. Pangeran Jayakarta 121 No. 57, Mangga Dua Selatan Sawah Besar Jakarta Pusat",10730,,-,021-6296612
410246,PT BALI TOWERINDO SENTRA TBK,"Autograph Tower, Lantai 77
Thamrin Nine Complex,
Jl. MH. Thamrin No.10
Kel. Kebon Melati, Kec. Tanah Abang
Jakarta Pusat",10230,www.balitower.co.id,021-57905788,021-57905789
410250,PT. Cyberindo Aditama,"Gedung Cyber2 Tower lt. 33, Jl. H.R. Rasuna Said Blok X-5 No.13 Jakarta 12950",12950,www.cbn.net.id,-,021-5742481
410263,PT BERDIKARI PRIMA MANDIRI,PERUM BEKASI PERMAI BLOK B I NO.5-6 RT 001 RW 015 BEKASI JAYA BEKASI TIMUR,17112,www.bpm.net.id,021-88348836,021-88348836
410274,PT. Jaringanku Sarana Nusantara,"Jl. Wijaya Kusuma No. 6 RT 005 RW 003, Griya Sekar Asri. Ds. Muktiharjo. Marggorejo. Pati",59163,www.jsn.net.id,-,
410283,PT. Quanta Tunas Abadi,Gedung Cyber 1 Lantai 10 Jalan Kuningan Barat No.8 Jakarta Selatan,12710,https://www.higen.net.id/,02150820060,
410285,PT. Usaha Adi Sanggoro,Kp. Sengked RT. 003 RW. 003 Babakan Dramaga-Kabupaten Bogor,16680,http://www.as.net.id/,02518350574,02518621137
410288,PT JAGAT MEDIA TEKNOLOGI,"Jl. Gajahmada Perumda No.1B, Kel. Purwodadi, Kec. Purwodadi",58111,-,-,-
